Temperature, Humidity, WindSpeed, Pressure, Weather Condition
33.86,74.26,5.99,1021.94,Sunny
32.23,85.95,11.89,996.03,Rainy
21.73,59.45,11.68,1023.66,Sunny
34.46,96.82,13.5,960.81,Sunny
33.73,71.05,9.17,961.53,Rainy
20.5,80.9,16.97,1033.46,Rainy
22.3,58.7,6.0,989.97,Sunny
25.11,55.8,15.68,971.01,Sunny
31.86,91.58,16.67,988.52,Sunny
33.73,71.05,9.17,961.53,Rainy
29.73,56.01,9.71,964.81,Sunny
23.44,95.4,5.24,1004.79,Sunny
23.44,95.4,5.24,1004.79,Sunny
18.42,60.29,1.47,1046.25,Rainy
19.41,57.91,11.12,990.64,Rainy
17.02,72.36,4.77,1046.69,Sunny
21.81,86.72,10.84,1031.08,Rainy
20.3,65.41,5.45,981.39,Sunny
32.12,89.16,17.6,986.5,Sunny
22.99,64.16,9.77,990.24,Rainy
18.98,50.72,8.46,960.28,Sunny
30.52,44.25,14.07,1007.66,Sunny
28.11,88.45,2.69,986.42,Rainy
22.4,99.71,6.32,1048.11,Rainy
33.15,92.16,16.7,989.5,Sunny
27.37,85.64,4.92,1031.66,Rainy
28.69,94.33,3.15,1001.14,Sunny
25.58,43.04,0.19,1008.0,Rainy
27.37,85.64,4.92,1031.66,Rainy
22.3,58.7,6.0,989.97,Sunny
25.58,43.04,0.19,1008.0,Rainy
20.25,80.4,4.07,980.03,Rainy
27.07,89.9,19.22,1036.41,Sunny
20.3,65.41,5.45,981.39,Sunny
17.19,65.31,0.07,1040.28,Rainy
22.4,99.71,6.32,1048.11,Rainy
26.14,53.74,7.39,1010.62,Rainy
25.58,43.04,0.19,1008.0,Rainy
19.19,78.99,15.04,1003.62,Rainy
27.37,85.64,4.92,1031.66,Rainy
34.92,73.02,8.55,992.99,Sunny
25.19,54.92,1.85,992.04,Rainy
20.3,65.41,5.45,981.39,Sunny
27.07,89.9,19.22,1036.41,Sunny
34.15,94.15,15.79,971.6,Sunny
22.4,99.71,6.32,1048.11,Rainy
26.23,83.74,14.35,1021.98,Rainy
29.73,56.01,9.71,964.81,Sunny
31.95,92.72,3.15,1030.22,Rainy
19.46,72.22,3.33,1008.25,Sunny
15.6,97.23,19.71,1036.07,Rainy
27.18,53.48,19.92,967.86,Rainy
19.41,57.91,11.12,990.64,Rainy
21.29,87.08,18.78,1017.06,Rainy
19.41,57.91,11.12,990.64,Rainy
32.96,45.91,5.28,990.84,Sunny
25.19,54.92,1.85,992.04,Rainy
21.31,52.85,13.08,950.17,Rainy
34.46,96.82,13.5,960.81,Sunny
28.53,78.46,4.27,962.74,Rainy
20.34,66.29,1.45,1043.92,Sunny
30.52,44.25,14.07,1007.66,Sunny
33.29,45.82,2.14,1016.42,Rainy
19.56,55.9,10.46,952.37,Sunny
28.11,88.45,2.69,986.42,Rainy
21.81,86.72,10.84,1031.08,Rainy
27.96,47.26,19.97,1047.04,Sunny
19.93,68.02,12.1,1034.8,Rainy
16.27,66.59,14.82,950.04,Rainy
28.11,88.45,2.69,986.42,Rainy
25.9,92.23,19.91,1038.41,Sunny
16.74,66.09,1.17,1039.9,Sunny
19.46,72.22,3.33,1008.25,Sunny
34.15,92.15,16.69,991.5,Sunny
19.46,72.22,3.33,1008.25,Sunny
27.18,53.48,19.92,967.86,Rainy
34.14,40.03,1.14,952.48,Sunny
19.58,54.28,12.23,975.47,Rainy
22.63,91.68,11.03,978.69,Sunny
19.58,54.28,12.23,975.47,Rainy
16.85,41.17,10.06,983.22,Sunny
30.84,54.99,12.74,980.09,Rainy
29.59,43.48,3.72,976.68,Rainy
22.3,58.7,6.0,989.97,Sunny
34.79,44.26,17.62,1022.85,Sunny
22.4,99.71,6.32,1048.11,Rainy
31.19,76.54,3.1,965.46,Rainy
31.12,85.75,19.37,1036.46,Sunny
29.73,56.01,9.71,964.81,Sunny
20.25,80.4,4.07,980.03,Rainy
27.55,56.71,15.42,1011.55,Rainy
15.92,72.99,11.67,972.76,Rainy
34.79,44.26,17.62,1022.85,Sunny
28.96,72.36,11.58,1047.62,Rainy
31.12,85.75,19.37,1036.46,Sunny
20.35,47.94,0.16,1042.56,Rainy
27.79,40.69,19.38,1040.39,Rainy
29.73,56.01,9.71,964.81,Sunny
35.15,93.15,15.69,981.5,Sunny
25.11,55.8,15.68,971.01,Sunny
15.94,66.92,5.53,1017.73,Sunny
19.66,52.71,14.32,1036.44,Rainy
34.46,96.82,13.5,960.81,Sunny
27.71,52.07,13.43,1014.15,Rainy
24.18,65.86,11.06,983.02,Rainy
15.94,66.92,5.53,1017.73,Sunny
16.6,65.39,4.09,982.83,Rainy
16.85,41.17,10.06,983.22,Sunny
32.53,68.36,13.27,1024.2,Sunny
21.73,59.45,11.68,1023.66,Sunny
17.02,72.36,4.77,1046.69,Sunny
19.39,60.36,18.11,979.57,Sunny
27.18,53.48,19.92,967.86,Rainy
23.44,95.4,5.24,1004.79,Sunny
26.14,53.74,7.39,1010.62,Rainy
20.56,83.8,7.92,977.91,Rainy
34.79,44.26,17.62,1022.85,Sunny
26.23,83.74,14.35,1021.98,Rainy
21.73,59.45,11.68,1023.66,Sunny
26.04,69.16,2.4,1035.86,Rainy
27.79,40.69,19.38,1040.39,Rainy
16.74,66.09,1.17,1039.9,Sunny
34.42,99.96,1.5,1015.47,Sunny
19.19,78.99,15.04,1003.62,Rainy
20.3,65.41,5.45,981.39,Sunny
17.02,72.36,4.77,1046.69,Sunny
27.18,53.48,19.92,967.86,Rainy
19.39,60.36,18.11,979.57,Sunny
18.98,50.72,8.46,960.28,Sunny
15.94,66.92,5.53,1017.73,Sunny
16.93,95.75,17.05,1043.08,Sunny
34.95,91.7,16.92,962.73,Rainy
24.18,65.86,11.06,983.02,Rainy
25.19,54.92,1.85,992.04,Rainy
15.5,83.24,18.53,1004.56,Sunny
21.73,59.45,11.68,1023.66,Sunny
18.98,50.72,8.46,960.28,Sunny
18.27,53.81,5.3,960.84,Sunny
27.18,53.48,19.92,967.86,Rainy
32.84,46.69,8.02,980.83,Rainy
20.5,80.9,16.97,1033.46,Rainy
21.81,86.72,10.84,1031.08,Rainy
26.79,78.34,14.37,1012.07,Sunny
27.37,85.64,4.92,1031.66,Rainy
34.42,99.96,1.5,1015.47,Sunny
28.0,94.76,19.15,1028.01,Sunny
28.69,94.33,3.15,1001.14,Sunny
16.82,51.41,8.47,1044.04,Rainy
32.12,89.16,17.6,986.5,Sunny
16.93,95.75,17.05,1043.08,Sunny
21.29,87.08,18.78,1017.06,Rainy
32.23,85.95,11.89,996.03,Rainy
18.42,60.29,1.47,1046.25,Rainy
19.41,57.91,11.12,990.64,Rainy
33.15,92.16,16.7,989.5,Sunny
19.39,60.36,18.11,979.57,Sunny
15.94,66.92,5.53,1017.73,Sunny
20.79,92.35,18.69,969.31,Rainy
34.14,40.03,1.14,952.48,Sunny
19.41,57.91,11.12,990.64,Rainy
15.53,70.04,9.1,974.95,Sunny
32.96,45.91,5.28,990.84,Sunny
34.14,40.03,1.14,952.48,Sunny
15.64,80.14,19.74,1020.88,Rainy
15.6,97.23,19.71,1036.07,Rainy
19.58,54.28,12.23,975.47,Rainy
35.15,93.15,15.69,981.5,Sunny
26.79,78.34,14.37,1012.07,Sunny
32.22,90.16,17.66,996.5,Sunny
19.39,60.36,18.11,979.57,Sunny
34.46,96.82,13.5,960.81,Sunny
16.74,66.09,1.17,1039.9,Sunny
26.55,47.7,12.39,980.52,Rainy
26.69,99.05,12.68,980.93,Rainy
15.92,72.99,11.67,972.76,Rainy
29.09,68.52,8.38,1029.53,Rainy
32.12,89.16,17.6,986.5,Sunny
28.53,78.46,4.27,962.74,Rainy
19.19,78.99,15.04,1003.62,Rainy
21.73,59.45,11.68,1023.66,Sunny
28.69,94.33,3.15,1001.14,Sunny
25.58,43.04,0.19,1008.0,Rainy
18.27,53.81,5.3,960.84,Sunny
27.18,53.48,19.92,967.86,Rainy
18.27,53.81,5.3,960.84,Sunny
20.35,47.94,0.16,1042.56,Rainy
32.12,89.16,17.6,986.5,Sunny
25.72,92.68,11.9,1028.74,Sunny
20.34,66.29,1.45,1043.92,Sunny
28.96,72.36,11.58,1047.62,Rainy
31.12,85.75,19.37,1036.46,Sunny
20.35,47.94,0.16,1042.56,Rainy
20.35,47.94,0.16,1042.56,Rainy
19.46,72.22,3.33,1008.25,Sunny
23.44,95.4,5.24,1004.79,Sunny
28.11,88.45,2.69,986.42,Rainy
27.8,77.87,17.59,981.37,Sunny
27.8,77.87,17.59,981.37,Sunny
23.44,95.4,5.24,1004.79,Sunny
16.27,66.59,14.82,950.04,Rainy
18.11,71.82,14.96,1038.14,Rainy
27.96,47.26,19.97,1047.04,Sunny
23.44,67.22,7.58,1029.61,Sunny
20.5,80.9,16.97,1033.46,Rainy
31.14,58.45,1.6,1031.07,Sunny
26.55,47.7,12.39,980.52,Rainy
32.12,89.16,17.6,986.5,Sunny
26.04,69.16,2.4,1035.86,Rainy
18.11,71.82,14.96,1038.14,Rainy
16.27,66.59,14.82,950.04,Rainy
28.53,78.46,4.27,962.74,Rainy
30.52,44.25,14.07,1007.66,Sunny
32.96,45.91,5.28,990.84,Sunny
27.55,56.71,15.42,1011.55,Rainy
28.11,88.45,2.69,986.42,Rainy
19.46,72.22,3.33,1008.25,Sunny
20.3,65.41,5.45,981.39,Sunny
28.53,78.46,4.27,962.74,Rainy
23.44,95.4,5.24,1004.79,Sunny
32.15,91.16,17.7,983.5,Sunny
22.4,99.71,6.32,1048.11,Rainy
27.8,77.87,17.59,981.37,Sunny
18.42,60.29,1.47,1046.25,Rainy
30.52,44.25,14.07,1007.66,Sunny
20.3,65.41,5.45,981.39,Sunny
28.11,88.45,2.69,986.42,Rainy
16.74,66.09,1.17,1039.9,Sunny
21.73,59.45,11.68,1023.66,Sunny
22.4,99.71,6.32,1048.11,Rainy
16.6,65.39,4.09,982.83,Rainy
20.79,92.35,18.69,969.31,Rainy
29.73,56.01,9.71,964.81,Sunny
20.35,47.94,0.16,1042.56,Rainy
21.73,59.45,11.68,1023.66,Sunny
15.64,80.14,19.74,1020.88,Rainy
31.19,76.54,3.1,965.46,Rainy
32.96,45.91,5.28,990.84,Sunny
34.92,73.02,8.55,992.99,Sunny
15.13,49.17,5.93,1042.99,Rainy
25.11,55.8,15.68,971.01,Sunny
17.02,72.36,4.77,1046.69,Sunny
27.79,40.69,19.38,1040.39,Rainy
15.94,66.92,5.53,1017.73,Sunny
18.98,50.72,8.46,960.28,Sunny
28.69,94.33,3.15,1001.14,Sunny
27.37,85.64,4.92,1031.66,Rainy
31.59,44.15,17.81,972.24,Sunny
19.37,92.55,5.3,1039.89,Sunny
32.22,90.16,17.66,996.5,Sunny
33.29,45.82,2.14,1016.42,Rainy
20.5,80.9,16.97,1033.46,Rainy
25.72,92.68,11.9,1028.74,Sunny
28.53,78.46,4.27,962.74,Rainy
22.3,58.7,6.0,989.97,Sunny
15.6,97.23,19.71,1036.07,Rainy
29.73,56.01,9.71,964.81,Sunny
21.81,86.72,10.84,1031.08,Rainy
15.6,97.23,19.71,1036.07,Rainy
20.79,92.35,18.69,969.31,Rainy
15.5,83.24,18.53,1004.56,Sunny
15.53,70.04,9.1,974.95,Sunny
26.55,47.7,12.39,980.52,Rainy
15.5,83.24,18.53,1004.56,Sunny
32.96,45.91,5.28,990.84,Sunny
31.86,91.58,16.67,988.52,Sunny
26.14,53.74,7.39,1010.62,Rainy
32.12,89.16,17.6,986.5,Sunny
32.53,68.36,13.27,1024.2,Sunny
19.41,57.91,11.12,990.64,Rainy
23.44,67.22,7.58,1029.61,Sunny
28.11,88.45,2.69,986.42,Rainy
28.0,94.76,19.15,1028.01,Sunny
18.11,71.82,14.96,1038.14,Rainy
27.37,85.64,4.92,1031.66,Rainy
22.57,45.14,4.7,1037.22,Sunny
23.44,95.4,5.24,1004.79,Sunny
16.27,66.59,14.82,950.04,Rainy
27.71,52.07,13.43,1014.15,Rainy
21.31,52.85,13.08,950.17,Rainy
27.8,77.87,17.59,981.37,Sunny
22.59,53.21,18.67,993.46,Sunny
22.3,58.7,6.0,989.97,Sunny
24.18,65.86,11.06,983.02,Rainy
28.11,88.45,2.69,986.42,Rainy
23.44,67.22,7.58,1029.61,Sunny
34.46,96.82,13.5,960.81,Sunny
22.91,51.42,2.31,957.0,Sunny
34.42,99.96,1.5,1015.47,Sunny
22.57,45.14,4.7,1037.22,Sunny
27.79,40.69,19.38,1040.39,Rainy
26.55,47.7,12.39,980.52,Rainy
28.69,94.33,3.15,1001.14,Sunny
28.96,72.36,11.58,1047.62,Rainy
22.59,53.21,18.67,993.46,Sunny
28.69,94.33,3.15,1001.14,Sunny
30.84,54.99,12.74,980.09,Rainy
33.86,74.26,5.99,1021.94,Sunny
19.37,92.55,5.3,1039.89,Sunny
35.15,93.15,15.69,981.5,Sunny
32.12,89.16,17.6,986.5,Sunny
18.98,50.72,8.46,960.28,Sunny
22.59,53.21,18.67,993.46,Sunny
27.07,89.9,19.22,1036.41,Sunny
22.57,45.14,4.7,1037.22,Sunny
22.99,64.16,9.77,990.24,Rainy
31.59,44.15,17.81,972.24,Sunny
29.73,56.01,9.71,964.81,Sunny
26.69,99.05,12.68,980.93,Rainy
24.18,65.86,11.06,983.02,Rainy
21.73,59.45,11.68,1023.66,Sunny
27.8,77.87,17.59,981.37,Sunny
19.46,72.22,3.33,1008.25,Sunny
16.82,51.41,8.47,1044.04,Rainy
15.92,72.99,11.67,972.76,Rainy
16.82,51.41,8.47,1044.04,Rainy
26.79,78.34,14.37,1012.07,Sunny
26.55,47.7,12.39,980.52,Rainy
33.86,74.26,5.99,1021.94,Sunny
32.23,85.95,11.89,996.03,Rainy
34.15,92.15,16.69,991.5,Sunny
18.98,50.72,8.46,960.28,Sunny
29.59,43.48,3.72,976.68,Rainy
22.4,99.71,6.32,1048.11,Rainy
27.37,85.64,4.92,1031.66,Rainy
34.92,73.02,8.55,992.99,Sunny
21.81,86.72,10.84,1031.08,Rainy
26.14,53.74,7.39,1010.62,Rainy
28.0,94.76,19.15,1028.01,Sunny
34.92,73.02,8.55,992.99,Sunny
34.14,40.03,1.14,952.48,Sunny
19.41,57.91,11.12,990.64,Rainy
34.92,73.02,8.55,992.99,Sunny
30.52,44.25,14.07,1007.66,Sunny
24.18,65.86,11.06,983.02,Rainy
20.34,66.29,1.45,1043.92,Sunny
34.15,92.15,16.69,991.5,Sunny
34.15,92.15,16.69,991.5,Sunny
22.4,99.71,6.32,1048.11,Rainy
32.23,85.95,11.89,996.03,Rainy
22.4,99.71,6.32,1048.11,Rainy
20.35,47.94,0.16,1042.56,Rainy
28.53,78.46,4.27,962.74,Rainy
19.58,54.28,12.23,975.47,Rainy
32.84,46.69,8.02,980.83,Rainy
22.4,99.71,6.32,1048.11,Rainy
33.86,74.26,5.99,1021.94,Sunny
15.92,72.99,11.67,972.76,Rainy
28.69,94.33,3.15,1001.14,Sunny
28.0,94.76,19.15,1028.01,Sunny
31.95,92.72,3.15,1030.22,Rainy
25.72,92.68,11.9,1028.74,Sunny
23.44,95.4,5.24,1004.79,Sunny
33.15,92.16,16.7,989.5,Sunny
16.85,41.17,10.06,983.22,Sunny
26.04,69.16,2.4,1035.86,Rainy
31.95,92.72,3.15,1030.22,Rainy
27.37,85.64,4.92,1031.66,Rainy
18.42,60.29,1.47,1046.25,Rainy
34.92,73.02,8.55,992.99,Sunny
32.12,89.16,17.6,986.5,Sunny
16.85,41.17,10.06,983.22,Sunny
27.96,47.26,19.97,1047.04,Sunny
25.72,92.68,11.9,1028.74,Sunny
15.64,80.14,19.74,1020.88,Rainy
19.39,60.36,18.11,979.57,Sunny
30.52,44.25,14.07,1007.66,Sunny
15.6,97.23,19.71,1036.07,Rainy
29.73,56.01,9.71,964.81,Sunny
21.29,87.08,18.78,1017.06,Rainy
34.92,73.02,8.55,992.99,Sunny
27.37,85.64,4.92,1031.66,Rainy
15.53,70.04,9.1,974.95,Sunny
31.14,58.45,1.6,1031.07,Sunny
17.02,72.36,4.77,1046.69,Sunny
32.22,90.16,17.66,996.5,Sunny
25.19,54.92,1.85,992.04,Rainy
19.19,78.99,15.04,1003.62,Rainy
27.18,53.48,19.92,967.86,Rainy
28.0,94.76,19.15,1028.01,Sunny
31.95,92.72,3.15,1030.22,Rainy
16.74,66.09,1.17,1039.9,Sunny
29.73,56.01,9.71,964.81,Sunny
31.95,92.72,3.15,1030.22,Rainy
17.02,72.36,4.77,1046.69,Sunny
15.64,80.14,19.74,1020.88,Rainy
22.91,51.42,2.31,957.0,Sunny
16.6,65.39,4.09,982.83,Rainy
15.5,83.24,18.53,1004.56,Sunny
16.85,41.17,10.06,983.22,Sunny
16.27,66.59,14.82,950.04,Rainy
26.04,69.16,2.4,1035.86,Rainy
26.04,69.16,2.4,1035.86,Rainy
21.73,59.45,11.68,1023.66,Sunny
19.56,55.9,10.46,952.37,Sunny
16.85,41.17,10.06,983.22,Sunny
21.31,52.85,13.08,950.17,Rainy
15.13,49.17,5.93,1042.99,Rainy
19.37,92.55,5.3,1039.89,Sunny
21.29,87.08,18.78,1017.06,Rainy
34.15,92.15,16.69,991.5,Sunny
27.37,85.64,4.92,1031.66,Rainy
28.53,78.46,4.27,962.74,Rainy
33.86,74.26,5.99,1021.94,Sunny
21.81,86.72,10.84,1031.08,Rainy
17.02,72.36,4.77,1046.69,Sunny
15.94,66.92,5.53,1017.73,Sunny
19.66,52.71,14.32,1036.44,Rainy
25.11,55.8,15.68,971.01,Sunny
15.94,66.92,5.53,1017.73,Sunny
15.53,70.04,9.1,974.95,Sunny
34.15,92.15,16.69,991.5,Sunny
27.8,77.87,17.59,981.37,Sunny
20.25,80.4,4.07,980.03,Rainy
16.82,51.41,8.47,1044.04,Rainy
34.92,73.02,8.55,992.99,Sunny
34.15,92.15,16.69,991.5,Sunny
22.59,53.21,18.67,993.46,Sunny
19.56,55.9,10.46,952.37,Sunny
22.91,51.42,2.31,957.0,Sunny
32.22,90.16,17.66,996.5,Sunny
15.64,80.14,19.74,1020.88,Rainy
29.73,56.01,9.71,964.81,Sunny
31.59,44.15,17.81,972.24,Sunny
33.86,74.26,5.99,1021.94,Sunny
34.15,94.15,15.79,971.6,Sunny
27.55,56.71,15.42,1011.55,Rainy
31.14,58.45,1.6,1031.07,Sunny
23.44,67.22,7.58,1029.61,Sunny
22.4,99.71,6.32,1048.11,Rainy
31.95,92.72,3.15,1030.22,Rainy
24.18,65.86,11.06,983.02,Rainy
26.55,47.7,12.39,980.52,Rainy
29.09,68.52,8.38,1029.53,Rainy
19.39,60.36,18.11,979.57,Sunny
19.37,92.55,5.3,1039.89,Sunny
21.81,86.72,10.84,1031.08,Rainy
27.79,40.69,19.38,1040.39,Rainy
19.66,52.71,14.32,1036.44,Rainy
32.12,89.16,17.6,986.5,Sunny
31.12,85.75,19.37,1036.46,Sunny
15.94,66.92,5.53,1017.73,Sunny
26.04,69.16,2.4,1035.86,Rainy
33.73,71.05,9.17,961.53,Rainy
34.95,91.7,16.92,962.73,Rainy
18.42,60.29,1.47,1046.25,Rainy
27.79,40.69,19.38,1040.39,Rainy
26.14,53.74,7.39,1010.62,Rainy
33.73,71.05,9.17,961.53,Rainy
27.96,47.26,19.97,1047.04,Sunny
26.55,47.7,12.39,980.52,Rainy
28.0,94.76,19.15,1028.01,Sunny
31.12,85.75,19.37,1036.46,Sunny
17.02,72.36,4.77,1046.69,Sunny
32.53,68.36,13.27,1024.2,Sunny
20.34,66.29,1.45,1043.92,Sunny
23.44,67.22,7.58,1029.61,Sunny
21.29,87.08,18.78,1017.06,Rainy
19.19,78.99,15.04,1003.62,Rainy
18.42,60.29,1.47,1046.25,Rainy
21.73,59.45,11.68,1023.66,Sunny
29.09,68.52,8.38,1029.53,Rainy
22.57,45.14,4.7,1037.22,Sunny
26.14,53.74,7.39,1010.62,Rainy
34.14,40.03,1.14,952.48,Sunny
15.94,66.92,5.53,1017.73,Sunny
28.11,88.45,2.69,986.42,Rainy
27.37,85.64,4.92,1031.66,Rainy
15.5,83.24,18.53,1004.56,Sunny
32.84,46.69,8.02,980.83,Rainy
20.25,80.4,4.07,980.03,Rainy
17.19,65.31,0.07,1040.28,Rainy
34.46,96.82,13.5,960.81,Sunny
17.19,65.31,0.07,1040.28,Rainy
19.41,57.91,11.12,990.64,Rainy
19.56,55.9,10.46,952.37,Sunny
18.27,53.81,5.3,960.84,Sunny
22.4,99.71,6.32,1048.11,Rainy
33.73,71.05,9.17,961.53,Rainy
18.11,71.82,14.96,1038.14,Rainy
34.14,40.03,1.14,952.48,Sunny
19.22,96.13,16.34,1003.85,Rainy
19.19,78.99,15.04,1003.62,Rainy
20.35,47.94,0.16,1042.56,Rainy
25.19,54.92,1.85,992.04,Rainy
25.72,92.68,11.9,1028.74,Sunny
27.71,52.07,13.43,1014.15,Rainy
31.95,92.72,3.15,1030.22,Rainy
26.14,53.74,7.39,1010.62,Rainy
28.96,72.36,11.58,1047.62,Rainy
21.73,59.45,11.68,1023.66,Sunny
16.93,95.75,17.05,1043.08,Sunny
22.99,64.16,9.77,990.24,Rainy
27.71,52.07,13.43,1014.15,Rainy
19.22,96.13,16.34,1003.85,Rainy
26.23,83.74,14.35,1021.98,Rainy
32.96,45.91,5.28,990.84,Sunny
35.15,93.15,15.69,981.5,Sunny
27.71,52.07,13.43,1014.15,Rainy
15.13,49.17,5.93,1042.99,Rainy
19.39,60.36,18.11,979.57,Sunny
27.55,56.71,15.42,1011.55,Rainy
